date,open,high,low,close,volume,prior_252_high,breakout_close_ge,vol_sma20,volume_ok,atr14_sma,atr14_wilder,nifty_close,market_ok,labs_buy_signal
2025-04-04,2856.75,2870.95,2704.6,2739.25,103973.0,3088.0,0,130277.9,0,106.3714285714285,112.62973111839217,20805.35,False,0
2025-04-07,2410.0,2668.35,2401.0,2574.3,147923.0,3088.0,0,126706.5,1,124.81785714285706,128.7454646099356,20105.7,False,0
2025-04-08,2640.0,2745.45,2602.05,2728.4,133036.0,3088.0,0,123233.4,1,127.48928571428561,131.77435999494017,20480.8,False,0
2025-04-09,2701.05,2710.0,2640.15,2675.3,73069.0,3088.0,0,119782.05,0,128.27857142857133,128.66547713815874,20356.75,False,0
2025-04-11,2727.0,2769.9,2719.5,2751.1,104602.0,3088.0,0,117705.35,0,128.66785714285706,126.23222877114738,20752.85,False,0
2025-04-15,2778.6,2889.9,2778.6,2878.2,171350.0,3088.0,0,114864.0,1,129.32857142857137,127.12992671606544,21279.4,True,0
2025-04-16,2889.0,2937.4,2871.2,2926.9,167215.0,3088.0,0,120123.95,1,124.97142857142853,122.77778909348936,21404.35,True,0
2025-04-17,2917.0,2963.9,2825.7,2906.8,151023.0,3088.0,0,122647.4,1,127.7785714285714,123.87937558681156,21681.55,True,0
2025-04-21,2907.0,2919.0,2810.0,2815.4,85320.0,3088.0,0,118837.15,0,127.02142857142856,122.81656304489645,22005.75,True,0
2025-04-22,2815.5,2864.9,2775.0,2809.3,79621.0,3088.0,0,116439.1,0,127.875,120.465379970261,22085.15,True,0
2025-04-23,2818.0,2882.0,2802.0,2846.6,85241.0,3088.0,0,113512.2,0,127.1214285714286,117.57499568667093,22237.6,True,0
2025-04-24,2865.0,3148.0,2855.1,2916.0,1963631.0,3088.0,0,202769.4,1,141.26785714285717,130.705353137623,22180.65,True,0
2025-04-25,2941.5,2944.8,2780.0,2802.7,158911.0,3148.0,0,207388.05,0,146.98571428571432,133.14068505636425,21848.15,True,0
2025-04-28,2822.0,2875.7,2792.0,2849.8,116592.0,3148.0,0,207465.4,0,145.04285714285717,129.6092075523382,22101.85,True,0
2025-04-29,2849.0,2930.9,2810.1,2902.2,177315.0,3148.0,0,210591.95,0,141.78928571428577,128.97997844145692,22112.4,True,0
2025-04-30,2918.0,3045.0,2884.8,2964.6,344867.0,3148.0,0,223971.1,1,129.0714285714286,131.20997998135286,22030.05,True,0
2025-05-02,2935.3,2945.7,2842.1,2852.8,212531.0,3148.0,0,229189.25,0,125.59642857142863,130.58783855411338,22006.0,True,0
2025-05-05,2862.5,2919.9,2848.1,2894.0,181479.0,3148.0,0,234296.6,0,124.42142857142865,126.38870722881958,22195.15,True,0
2025-05-06,2891.2,2915.2,2826.3,2840.8,99437.0,3148.0,0,236175.3,0,124.01428571428576,123.71094242676101,21956.6,True,0
2025-05-07,2801.0,2863.9,2796.9,2850.5,97133.0,3148.0,0,232713.45,0,118.88571428571433,119.66016082484951,22072.45,True,0
2025-05-08,2860.4,2885.6,2730.0,2743.3,106474.0,3148.0,0,232838.5,0,125.27142857142859,122.22729219450311,21843.05,True,0
2025-05-09,2701.0,2768.1,2693.9,2759.9,61908.0,3148.0,0,228537.75,0,120.69999999999997,118.79677132346715,21675.55,True,0
2025-05-12,2799.0,2874.0,2706.1,2721.5,184335.0,3148.0,0,231102.7,0,124.90714285714284,122.30414480036237,22511.4,True,0
2025-05-13,2748.0,2829.6,2725.0,2788.7,195288.0,3148.0,0,237213.65,0,126.20714285714283,121.2895630289079,22349.4,True,0
2025-05-14,2914.1,3025.0,2860.7,2878.8,671906.0,3148.0,0,265578.85,1,137.37142857142857,129.50459424112879,22499.5,True,0
2025-05-15,2888.0,2911.4,2849.4,2878.9,126405.0,3148.0,0,263331.6,0,120.27142857142856,124.68283750961959,22788.8,True,0
2025-05-16,2897.0,2904.0,2812.0,2828.6,160815.0,3148.0,0,263011.6,0,115.07142857142854,122.34834911607534,22870.9,True,0
2025-05-19,2856.0,2856.0,2794.2,2820.6,98745.0,3148.0,0,260397.7,0,113.50714285714285,118.02346703635568,22865.8,True,0
2025-05-20,2825.8,2841.4,2763.2,2786.6,121014.0,3148.0,0,262182.4,0,110.46428571428571,115.17893367661601,22585.6,True,0
2025-05-21,2810.9,3011.3,2791.7,2984.2,1084959.0,3148.0,0,312449.3,1,115.0714285714286,123.00186698542917,22730.65,True,0
2025-05-22,2972.1,3035.0,2942.0,3018.7,213418.0,3148.0,0,318858.15,0,112.96428571428575,120.85887648646995,22595.0,True,0
2025-05-23,3009.0,3030.0,2968.1,3020.9,101269.0,3148.0,0,225740.05,0,112.25714285714288,116.64752816600783,22781.05,True,0
2025-05-26,3035.0,3055.7,2952.0,2960.5,104383.0,3148.0,0,223013.65,0,113.31428571428576,115.72270472557868,22908.3,True,0
2025-05-27,2965.5,3145.7,2955.4,3118.2,690461.0,3148.0,0,251707.1,1,122.1214285714286,121.04965438803733,22816.5,True,0
2025-05-28,3131.0,3398.0,3105.9,3348.2,797325.0,3148.0,1,282707.6,1,131.8714285714286,133.26753621746323,22779.4,True,1
2025-05-29,3336.0,3374.9,3228.9,3263.4,245166.0,3398.0,0,277722.55,0,137.00000000000003,134.17699791621587,22861.35,True,0
2025-05-30,3249.9,3359.0,3237.9,3298.6,292575.0,3398.0,0,281724.75,1,133.65714285714287,133.24292663648615,22801.95,True,0
2025-06-02,3298.0,3397.6,3252.6,3271.1,208929.0,3398.0,0,283097.25,0,136.29285714285717,134.08271759102286,22834.5,True,0
2025-06-03,3270.0,3332.0,3220.0,3245.1,121504.0,3398.0,0,284200.6,0,127.41428571428573,132.5053806202355,22711.3,True,0
2025-06-04,3259.0,3455.9,3238.8,3420.0,269490.0,3398.0,1,292818.45,0,138.49285714285716,138.54785343307583,22807.85,True,0
2025-06-05,3440.0,3515.7,3401.3,3466.2,207434.0,3455.9,1,297866.45,0,140.09285714285713,136.82300675928468,22934.5,True,0
2025-06-06,3451.1,3490.0,3367.7,3438.5,149126.0,3515.7,0,302227.35,0,144.41428571428568,135.7856491336215,23165.1,True,0
2025-06-09,3455.0,3505.0,3387.0,3397.9,125137.0,3515.7,0,299267.45,0,147.2571428571428,134.5152456240771,23330.55,True,0
2025-06-10,3411.7,3450.0,3346.0,3398.4,112904.0,3515.7,0,295148.25,0,138.63571428571422,132.3355852223573,23339.95,True,0
2025-06-11,3402.1,3467.0,3365.2,3378.0,99844.0,3515.7,0,266545.15,0,139.26428571428568,130.15447199218895,23337.85,True,0
2025-06-12,3398.0,3439.8,3310.3,3320.0,166419.0,3515.7,0,268545.85,0,144.0928571428571,130.10772399274688,23046.45,True,0
2025-06-13,3300.0,3331.6,3258.6,3295.0,105723.0,3515.7,0,265791.25,0,141.89999999999995,126.02860085040781,22906.2,True,0
2025-06-16,3285.7,3381.1,3234.3,3366.8,82350.0,3515.7,0,264971.5,0,138.79285714285712,127.51227221823581,23095.05,True,0
2025-06-17,3344.0,3356.7,3240.0,3254.0,145878.0,3515.7,0,266214.7,0,126.98571428571427,127.46139563121899,22981.5,True,0
2025-06-18,3240.1,3306.7,3240.1,3286.4,151746.0,3515.7,0,219554.05,0,121.31428571428569,123.1141530861319,22925.2,True,0
2025-06-19,3250.0,3293.4,3175.0,3199.2,67083.0,3515.7,0,212237.3,0,121.12142857142855,122.77742786569391,22763.5,True,0
2025-06-20,3190.2,3255.0,3176.0,3213.5,123913.0,3515.7,0,213369.5,0,116.40714285714284,119.65046873243007,23041.1,True,0
2025-06-23,3176.5,3215.0,3153.9,3171.4,79994.0,3515.7,0,212150.05,0,112.77142857142856,115.46829239439934,23001.5,True,0
2025-06-24,3186.0,3280.0,3186.0,3229.1,109870.0,3515.7,0,183120.5,0,105.02142857142856,114.97770008051366,23113.2,True,0
2025-06-25,3254.8,3288.4,3233.2,3258.8,96385.0,3515.7,0,148073.5,0,101.0857142857143,111.00072150333412,23296.85,True,0
2025-06-26,3270.0,3309.0,3247.1,3301.9,156629.0,3515.7,0,143646.65,1,96.77142857142859,107.49352711023883,23517.55,True,0
2025-06-27,3324.9,3500.0,3292.8,3439.6,499010.0,3515.7,0,153968.4,1,103.14285714285714,114.61541803093606,23620.15,True,0
2025-06-30,3456.0,3456.0,3351.0,3388.1,176697.0,3515.7,0,152356.8,1,103.21428571428571,113.92860245729777,23617.2,True,0
2025-07-01,3388.7,3450.0,3345.1,3353.3,122742.0,3515.7,0,152418.7,0,103.43571428571428,113.28370228177651,23615.45,True,0
2025-07-02,3364.6,3369.2,3267.0,3293.8,75713.0,3515.7,0,142729.85,0,101.48571428571427,112.49200926164961,23547.25,True,0
2025-07-03,3264.0,3363.8,3264.0,3302.0,80140.0,3515.7,0,136365.15,0,103.39999999999999,111.5854371715318,23521.85,True,0
2025-07-04,3303.0,3348.0,3275.0,3283.7,78280.0,3515.7,0,132822.85,0,98.12857142857145,108.82933451642238,23562.45,True,0
2025-07-07,3287.5,3358.9,3274.0,3285.0,73720.0,3515.7,0,130252.0,0,95.13571428571429,107.12009633667792,23551.2,True,0
2025-07-08,3280.0,3339.0,3246.1,3260.7,75369.0,3515.7,0,128375.25,0,97.01428571428573,106.10437516977235,23572.55,True,0
2025-07-09,3266.1,3344.0,3266.1,3309.0,83528.0,3515.7,0,127559.45,0,94.50714285714288,104.47549122907434,23557.45,True,0
2025-07-10,3309.1,3319.9,3246.0,3251.9,45314.0,3515.7,0,121504.2,0,94.14285714285718,102.29152756985475,23471.4,True,0
2025-07-11,3244.0,3272.5,3225.4,3243.8,43722.0,3515.7,0,118404.15,0,93.14285714285718,98.3492756005794,23282.7,True,0
2025-07-14,3243.8,3254.9,3171.6,3187.9,77362.0,3515.7,0,118154.75,0,91.33571428571433,97.27432734339517,23309.05,True,0
2025-07-15,3190.1,3227.2,3176.8,3199.3,57695.0,3515.7,0,113745.6,0,90.70000000000002,93.9261611045812,23449.15,True,0
2025-07-16,3198.0,3200.5,3153.9,3167.6,45839.0,3515.7,0,108450.25,0,89.60714285714286,90.54572102568252,23472.5,True,0
2025-07-17,3170.0,3196.8,3154.9,3173.6,46351.0,3515.7,0,107413.65,0,77.80000000000003,87.07102666670521,23419.7,True,0
2025-07-18,3184.0,3195.6,3112.5,3138.4,52526.0,3515.7,0,103844.3,0,76.2357142857143,86.78738190479768,23275.15,True,0
2025-07-21,3138.4,3149.0,3074.1,3119.1,54032.0,3515.7,0,102546.2,0,74.09285714285716,85.93828319731213,23378.45,True,0
2025-07-22,3134.0,3152.2,3088.0,3098.6,55167.0,3515.7,0,99811.05,0,71.37857142857145,84.3855486832184,23320.9,True,0
2025-07-23,3121.9,3161.0,3090.0,3131.4,58819.0,3515.7,0,97932.75,0,69.32142857142857,83.42943806298852,23428.4,True,0
2025-07-24,3130.0,3177.9,3100.0,3162.4,68929.0,3515.7,0,93547.75,0,69.67142857142858,83.03447820134649,23301.1,True,0
2025-07-25,3175.0,3220.0,3120.4,3144.2,115563.0,3515.7,0,74375.4,1,70.72142857142856,84.21772975839316,23014.8,False,0
2025-07-28,3144.2,3161.9,3072.5,3083.5,54855.0,3515.7,0,68283.3,0,70.47142857142856,84.58789191850794,22846.95,False,0
2025-07-29,3083.5,3178.8,3083.5,3150.2,98969.0,3515.7,0,67094.65,1,71.32857142857142,85.35304249575738,23007.35,False,0
2025-07-30,3150.8,3200.0,3150.2,3197.0,96877.0,3515.7,0,68152.85,1,69.60714285714286,82.81353946034615,23033.55,False,0
2025-07-31,3170.0,3198.1,3135.2,3162.6,65839.0,3515.7,0,67437.8,0,70.7357142857143,81.39114378460715,22914.95,False,0
2025-08-01,3162.9,3184.3,2890.0,2936.5,282736.0,3515.7,0,77660.6,1,85.80714285714286,96.5989192285638,22673.65,False,0
2025-08-04,2930.1,2936.0,2828.0,2869.0,143804.0,3515.7,0,81164.8,1,89.9571428571429,97.44899642652354,22860.4,False,0
2025-08-05,2869.0,2895.0,2811.1,2828.8,100660.0,3515.7,0,82429.35,1,92.62142857142862,96.48121096748615,22798.5,False,0
2025-08-06,2824.0,2830.7,2720.0,2734.9,90193.0,3515.7,0,82762.6,1,97.53571428571432,97.49683875552284,22666.85,False,0
2025-08-07,2720.0,2721.2,2645.0,2677.5,124214.0,3515.7,0,86707.6,1,98.02142857142861,96.95420741584265,22694.1,False,0
2025-08-08,2676.0,2676.0,2630.0,2651.0,77215.0,3515.7,0,88382.25,0,96.06428571428576,93.42176402899675,22443.15,False,0
2025-08-11,2651.0,2712.6,2611.1,2687.1,56444.0,3515.7,0,87336.35,0,98.72857142857148,93.99878088406841,22633.45,False,0
