time,open,high,low,close,Volume,STR-001 Signal,Breakout,Volume OK,Market OK,Close,Prior 252 High,Volume,Volume SMA20,ATR14
2020-05-22,57,57.549999,55.25,56.349998,583207,0,0,1,0,56.349998,233.95,583207,580152.1500000034,2.671428714285689
2020-05-26,56.5,57,55,55.5,352824,0,0,0,1,55.5,233.95,352824,569746.4500000033,2.5749999285714034
2020-05-27,55.400002,57.400002,55.099998,55.799999,526960,0,0,1,1,55.799999,233.95,526960,509972.80000000336,2.542857357142832
2020-05-28,56,58.549999,55.799999,58.450001,2134850,0,0,1,1,58.450001,233.95,2134850,603435.0000000034,2.6000001428571173
2020-05-29,58.5,61.349998,57.799999,59.950001,3159077,0,0,1,1,59.950001,233.95,3159077,713249.7500000034,2.6392857857142604
2020-06-01,62.900002,62.900002,61.200001,62.900002,1157474,0,0,1,1,62.900002,233.95,1157474,725616.5000000034,2.5142861428571175
2020-06-02,66,66,66,66,229821,0,0,0,1,66,233.95,229821,718272.3000000033,2.5607144999999747
2020-06-03,69.300003,69.300003,66.800003,69.300003,1218919,0,0,1,1,69.300003,233.95,1218919,759189.7500000034,2.5785719285714035
2020-06-04,71.699997,72.599998,68.550003,71.099998,2625857,0,0,1,1,71.099998,233.95,2625857,865631.8000000033,2.739285571428546
2020-06-05,71.900002,74.650002,69.199997,74.650002,1792609,0,0,1,1,74.650002,233.95,1792609,938371.8500000034,3.0107147142856894
2020-06-08,78.349998,78.349998,77.849998,78.349998,435001,0,0,0,1,78.349998,233.95,435001,935589.0000000034,3.035714214285689
2020-06-09,82.25,82.25,75.150002,80.5,2479435,0,0,1,1,80.5,233.95,2479435,1029984.0000000034,3.3785712857142607
2020-06-10,84,84,77,79.25,1796317,0,0,1,1,79.25,233.95,1796317,1104068.3000000033,3.7178569999999747
2020-06-11,78.5,81.5,75.300003,75.300003,1292545,0,0,1,1,75.300003,233.95,1292545,1142350.4000000034,3.9821424999999744
2020-06-12,71.550003,74.349998,71.550003,73.349998,1743926,0,0,1,1,73.349998,233.95,1743926,1217426.3500000034,4.0857139999999745
2020-06-15,75.550003,77,75.550003,77,1140047,0,0,0,1,77,233.95,1140047,1247626.1000000034,4.20357128571426
2020-06-16,80.849998,80.849998,77.150002,80.849998,1674785,0,0,1,1,80.849998,233.95,1674785,1312331.2000000034,4.314285142857117
2020-06-17,84.349998,84.849998,77.300003,82.349998,7775927,0,0,1,1,82.349998,233.95,7775927,1689039.2500000033,4.657141928571403
2020-06-18,84.300003,84.300003,81.449997,82.449997,3534291,0,0,1,1,82.449997,233.95,3534291,1853528.2500000033,4.607142428571403
2020-06-19,83,83.5,80.199997,80.849998,1379725,0,0,0,1,80.849998,233.95,1379725,1851679.8500000034,4.632142571428546
2020-06-22,81.949997,82.599998,80.400002,81.099998,1062170,0,0,0,1,81.099998,233.95,1062170,1875628.0000000033,4.567856714285689
2020-06-23,81.349998,85.150002,80.599998,85.150002,2228868,0,0,1,1,85.150002,233.95,2228868,1969430.2000000034,4.657142499999975
2020-06-24,89.400002,89.400002,83.400002,84.599998,3082705,0,0,1,1,84.599998,233.95,3082705,2097217.4500000034,4.796428571428547
2020-06-25,82.800003,86.199997,81.400002,84.099998,901977,0,0,0,1,84.099998,233.95,901977,2035573.8000000033,4.74999928571426
2020-06-26,85.449997,87.199997,82.949997,83.25,916073,0,0,0,1,83.25,233.95,916073,1923423.6000000034,4.78928528571426
2020-06-29,83.949997,83.949997,79.300003,80.550003,1044363,0,0,0,1,80.550003,233.95,1044363,1917768.0500000033,4.614284999999974
2020-06-30,81.300003,82.5,78,79.75,831010,0,0,0,1,79.75,233.95,831010,1947827.5000000033,4.435713571428545
2020-07-01,80.050003,82.150002,77.449997,80.099998,986793,0,0,0,1,80.099998,233.95,986793,1936221.2000000034,4.32857128571426
2020-07-02,81,81.800003,80.550003,80.949997,527784,0,0,0,1,80.949997,233.95,527784,1831317.5500000033,4.182143071428547
2020-07-03,81.349998,81.5,79.150002,79.599998,1320401,0,0,0,1,79.599998,233.95,1320401,1807707.1500000034,4.089285642857118
2020-07-06,80.199997,83.550003,79.800003,83.400002,1810442,0,0,0,1,83.400002,233.95,1810442,1876479.2000000034,4.096428999999975
2020-07-07,83.699997,84,81.400002,82.550003,1299785,0,0,0,1,82.550003,233.95,1299785,1817496.7000000034,3.742857785714261
2020-07-08,82.599998,86.650002,82.099998,85.349998,4073321,0,0,1,1,85.349998,233.95,4073321,1931346.9000000034,3.864286214285689
2020-07-09,86,89.599998,85.650002,88.449997,3958509,0,0,1,1,88.449997,233.95,3958509,2064645.1000000034,3.9321431428571176
2020-07-10,88.400002,90.800003,86,87.25,1906154,0,0,0,1,87.25,233.95,1906154,2072756.5000000033,4.117857928571404
2020-07-13,87.800003,89.25,85.550003,85.949997,849402,0,0,0,1,85.949997,233.95,849402,2058224.2500000033,4.057143142857117
2020-07-14,85,85.099998,81.699997,81.800003,1099206,0,0,0,1,81.800003,233.95,1099206,2029445.3000000033,3.9321431428571176
2020-07-15,82.949997,83.849998,78.5,79.349998,1006412,0,0,0,1,79.349998,233.95,1006412,1690969.5500000033,3.9714290714285463
2020-07-16,80.050003,82.849998,78,82.349998,936083,0,0,0,1,82.349998,233.95,936083,1561059.1500000034,4.014286071428546
2020-07-17,82.900002,84.5,82.199997,82.400002,610089,0,0,0,1,82.400002,233.95,610089,1522577.3500000034,3.8464295714285472
2020-07-20,82.800003,83.849998,81.699997,82.599998,693126,0,0,0,1,82.599998,233.95,693126,1504125.1500000034,3.678572499999976
